,Flow Rate,kWh/BBL,site_id
42.0,8797.555,0.617,Canadian SWD
43.0,9379.004,0.626,Canadian SWD
44.0,10441.146,0.617,Canadian SWD
45.0,10521.958,0.617,Canadian SWD
46.0,11586.816,0.645,Canadian SWD
47.0,11625.723,0.645,Canadian SWD
48.0,12387.424,0.682,Canadian SWD
49.0,12410.306,0.685,Canadian SWD
50.0,13787.503,0.709,Canadian SWD
51.0,13818.616,0.712,Canadian SWD
52.0,14993.636,0.738,Canadian SWD
53.0,15274.298,0.741,Canadian SWD
54.0,16211.675,0.745,Canadian SWD
55.0,17277.197,0.768,Canadian SWD
56.0,17686.332,0.781,Canadian SWD
57.0,18200.52,0.784,Canadian SWD
58.0,18801.596,0.798,Canadian SWD
59.0,18873.198,0.824,Canadian SWD
